clir_name,admin_link,website_url,artwork_count,has_bio_on_website,bio_in_database,bio_length,match_type
"Camille Holvoet","https://sj-atlas-d1y8.vercel.app/admin/artists/46a1179e-be30-4a85-a1cc-89ea6363d82f","",280,false,false,0,"clir_only"
"Dan Miller","https://sj-atlas-d1y8.vercel.app/admin/artists/4e6b98f4-d861-4275-95e2-e4097e222d7c","https://www.creativegrowth.org/artist/dan-miller",111,true,true,1884,"exact_slug"
"Judith Scott","https://sj-atlas-d1y8.vercel.app/admin/artists/45aa6a67-30dc-406e-b5f3-a7261624dcef","https://www.creativegrowth.org/artist/judith-scott",98,true,true,3104,"exact_slug"
"Aurie Ramirez","https://sj-atlas-d1y8.vercel.app/admin/artists/647ee4af-709a-46e8-9704-85cc15dbd498","https://www.creativegrowth.org/artist/aurie-ramirez",83,true,true,2382,"exact_slug"
"Nelson Tygart","https://sj-atlas-d1y8.vercel.app/admin/artists/87acaf6d-536b-4bc5-9071-9ac410de3363","",76,false,false,0,"clir_only"
"Marion Bolton","https://sj-atlas-d1y8.vercel.app/admin/artists/09ca7058-353c-44be-ba67-e3f3cf584d37","https://www.creativegrowth.org/artist/marion-bolton",51,true,true,1114,"exact_slug"
"Louis Estape","https://sj-atlas-d1y8.vercel.app/admin/artists/0b6850da-675b-4200-a69a-af50f2b6c48c","",22,false,false,0,"clir_only"
"Paul Costa","https://sj-atlas-d1y8.vercel.app/admin/artists/2bd07333-b7e7-459a-a924-fad67d90e3c4","",22,false,false,0,"clir_only"
"David Alvarez","https://sj-atlas-d1y8.vercel.app/admin/artists/1e12bbfc-9394-4f96-af4b-ddde1a432caa","",21,false,false,0,"clir_only"
"Jeanette Tessandori","https://sj-atlas-d1y8.vercel.app/admin/artists/735a5903-b252-48ff-82ff-47470a1696c4","",21,false,false,0,"clir_only"
"Maria Bustillos","https://sj-atlas-d1y8.vercel.app/admin/artists/153c03ad-7389-4711-b313-9d4410623933","",20,false,false,0,"clir_only"
"VJ Williamson","https://sj-atlas-d1y8.vercel.app/admin/artists/6a4fe98c-0537-49f5-9dec-4c2f5e61c0ca","",20,false,false,0,"clir_only"
"Franna Lusson","https://sj-atlas-d1y8.vercel.app/admin/artists/37676d99-1093-40c1-88d4-fcdbe282cf91","https://www.creativegrowth.org/artist/franna-lusson",19,true,true,3748,"exact_slug"
"John Hiltunen","https://sj-atlas-d1y8.vercel.app/admin/artists/6922d169-f61d-455d-9544-8feacde4e96d","https://www.creativegrowth.org/artist/john-hiltunen",18,true,true,2624,"exact_slug"
"Carl Hendrickson","https://sj-atlas-d1y8.vercel.app/admin/artists/06f8384b-c0e0-4207-ba69-5b9f17a5428f","",17,false,false,0,"clir_only"
"Charles Nagle","https://sj-atlas-d1y8.vercel.app/admin/artists/5d7e186f-784a-4937-8e1d-cb81ce4bcd47","https://www.creativegrowth.org/artist/charles-nagle",12,false,false,0,"exact_slug"
"Ben Liebermann","https://sj-atlas-d1y8.vercel.app/admin/artists/6d600621-6e27-4728-b58b-37e814406045","",11,false,false,0,"clir_only"
"Geary Walker","https://sj-atlas-d1y8.vercel.app/admin/artists/8b7a038e-5882-4ab5-ac63-1f2d941a14d4","",8,false,false,0,"clir_only"
"Ying Ge Zhou","https://sj-atlas-d1y8.vercel.app/admin/artists/7f19cb0a-acf4-473b-b585-6ed00b4f4926","https://www.creativegrowth.org/artist/ying-ge-zhou",7,true,true,1918,"exact_slug"
